date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
10:09:39	9178/9178	---MC-	200	added ('OK')	text/html	date:Mon,%2004%20Mar%202024%2013:11:02%20GMT	https://invitacionesvirtuales.net/salon/invitacionper.php?id=NjE2MzYrag==&KT_back=1	C:/Users/JGiancaspro.CSJG/Desktop/carpetin/cast/invitacionesvirtuales.net/salon/invitacionper9c34.html	(from )
10:09:40	491/491	---MC-	404	error ('Not%20Found')	text/html	date:Mon,%2004%20Mar%202024%2013:11:03%20GMT	https://invitacionesvirtuales.net/robots.txt		(from )
10:09:41	95786/95786	---M--	200	added ('OK')	text/javascript	date:Tue,%2003%20Mar%202020%2019:15:00%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/1/jquery.min.js	C:/Users/JGiancaspro.CSJG/Desktop/carpetin/cast/ajax.googleapis.com/ajax/libs/jquery/1/jquery.min.js	(from https://invitacionesvirtuales.net/salon/invitacionper.php?id=NjE2MzYrag==&KT_back=1)
10:09:41	10006/10006	---M--	200	added ('OK')	application/javascript	date:Tue,%2024%20May%202022%2001:34:25%20GMT	https://invitacionesvirtuales.net/salon/js/jquery.countdown.js	C:/Users/JGiancaspro.CSJG/Desktop/carpetin/cast/invitacionesvirtuales.net/salon/js/jquery.countdown.js	(from https://invitacionesvirtuales.net/salon/invitacionper.php?id=NjE2MzYrag==&KT_back=1)
10:09:41	26333/26333	---M--	200	added ('OK')	text/css	date:Fri,%2029%20Sep%202023%2019:29:53%20GMT	https://invitacionesvirtuales.net/salon/estilo.css	C:/Users/JGiancaspro.CSJG/Desktop/carpetin/cast/invitacionesvirtuales.net/salon/estilo.css	(from https://invitacionesvirtuales.net/salon/invitacionper.php?id=NjE2MzYrag==&KT_back=1)
10:09:41	17933/17933	---M--	200	added ('OK')	text/css	date:Tue,%2027%20Dec%202022%2018:23:49%20GMT	https://invitacionesvirtuales.net/salon/style-invit.css	C:/Users/JGiancaspro.CSJG/Desktop/carpetin/cast/invitacionesvirtuales.net/salon/style-invit.css	(from https://invitacionesvirtuales.net/salon/invitacionper.php?id=NjE2MzYrag==&KT_back=1)
10:09:42	3405/3405	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Dec%202018%2016:16:48%20GMT	https://invitacionesvirtuales.net/apple-touch-icon.png	C:/Users/JGiancaspro.CSJG/Desktop/carpetin/cast/invitacionesvirtuales.net/apple-touch-icon.png	(from https://invitacionesvirtuales.net/salon/invitacionper.php?id=NjE2MzYrag==&KT_back=1)
10:09:42	725/725	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Dec%202018%2016:16:44%20GMT	https://invitacionesvirtuales.net/favicon-32x32.png	C:/Users/JGiancaspro.CSJG/Desktop/carpetin/cast/invitacionesvirtuales.net/favicon-32x32.png	(from https://invitacionesvirtuales.net/salon/invitacionper.php?id=NjE2MzYrag==&KT_back=1)
10:09:42	401/401	---M--	200	added ('OK')	image/png	date:Tue,%2004%20Dec%202018%2016:16:43%20GMT	https://invitacionesvirtuales.net/favicon-16x16.png	C:/Users/JGiancaspro.CSJG/Desktop/carpetin/cast/invitacionesvirtuales.net/favicon-16x16.png	(from https://invitacionesvirtuales.net/salon/invitacionper.php?id=NjE2MzYrag==&KT_back=1)
10:09:42	725/725	---M--	200	added ('OK')	image/png	date:Tue,%2024%20May%202022%2001:32:11%20GMT	https://invitacionesvirtuales.net/salon/favicon-32x32.png	C:/Users/JGiancaspro.CSJG/Desktop/carpetin/cast/invitacionesvirtuales.net/salon/favicon-32x32.png	(from https://invitacionesvirtuales.net/salon/invitacionper.php?id=NjE2MzYrag==&KT_back=1)
